ENTITY_ID;OPERATING_COMPANY;ADDRESS;ZIP_CODE;CITY;LONGITUDE;LATITUDE;START_UP_DATE;LOADER_TYPE;NUMBER_OF_CHARGING_POINTS;CONNECTION_POWER_KW;PLUG_TYPES_1;POWER_1_KW;PLUG_TYPES_2;POWER_2_KW;PLUG_TYPES_3;POWER_3_KW;PLUG_TYPES_4;POWER_4_KW
1068;Stadtwerke Leipzig GmbH;Pfaffendorfer Straße 29;4105;Leipzig;12.372049;51.348764;01.01.12;Normalladeeinrichtung;1;3.7;AC Schuko;3.7;;0.0;;0.0;;0.0
1069;Stadtwerke Leipzig GmbH;Georg Schumann Straße 2;4105;Leipzig;12.37707;51.357459;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1070;Stadtwerke Leipzig GmbH;Reichsstraße 1;4105;Leipzig;12.376691;51.340508;01.02.16;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1071;Stadtwerke Leipzig GmbH;Theresienstraße 4;4105;Leipzig;12.380288;51.358949;01.10.12;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1072;Stadtwerke Leipzig GmbH;Am Sportforum 2;4105;Leipzig;12.353327;51.34213;31.05.14;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1073;Stadtwerke Leipzig GmbH;Nordstraße 25;4105;Leipzig;12.375035;51.346486;01.06.17;Normalladeeinrichtung;2;50.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1074;Stadtwerke Leipzig GmbH;Markgrafenstraße 2;4107;Leipzig;12.374587;51.336691;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1075;Stadtwerke Leipzig GmbH;Peterssteinweg 19;4107;Leipzig;12.373996;51.332296;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1076;Stadtwerke Leipzig GmbH;Riemannstraße 8;4107;Leipzig;12.379899;51.330377;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1077;Stadtwerke Leipzig GmbH;Wächterstraße 13;4107;Leipzig;12.366802;51.333198;01.10.11;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1078;Stadtwerke Leipzig GmbH;Mozartstraße 1-5;4107;Leipzig;12.36862;51.331742;01.04.16;Normalladeeinrichtung;1;20.0;AC Steckdose Typ 2;3.7;;0.0;;0.0;;0.0
1079;Stadtwerke Leipzig GmbH;Mozartstraße 1-5;4107;Leipzig;12.368279;51.331678;01.04.16;Normalladeeinrichtung;1;20.0;AC Steckdose Typ 2;3.7;;0.0;;0.0;;0.0
1080;Stadtwerke Leipzig GmbH;Mozartstraße 1-5;4107;Leipzig;12.367812;51.331598;01.04.16;Normalladeeinrichtung;1;20.0;AC Steckdose Typ 2;3.7;;0.0;;0.0;;0.0
1081;Stadtwerke Leipzig GmbH;Mozartstraße 1-5;4107;Leipzig;12.367364;51.331521;01.04.16;Normalladeeinrichtung;1;20.0;AC Steckdose Typ 2;3.7;;0.0;;0.0;;0.0
1082;APCOA PARKING Deutschland GmbH;Petersstraße 36-44;4109;Leipzig;12.3742305;51.3375282;01.12.16;Normalladeeinrichtung;2;11.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1083;Stadtwerke Leipzig GmbH;Friedrich-Eber Straße 51;4109;Leipzig;12.362342;51.338701;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1084;Stadtwerke Leipzig GmbH;Georgiring 3;4109;Leipzig;12.382769;51.340184;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1085;Stadtwerke Leipzig GmbH;Augustusplatz 7;4109;Leipzig;12.381761;51.337889;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1086;Stadtwerke Leipzig GmbH;Friedrich Ebert Straße 63;4109;Leipzig;12.361864;51.339545;01.01.12;Normalladeeinrichtung;1;3.7;AC Schuko;3.7;;0.0;;0.0;;0.0
1087;Stadtwerke Leipzig GmbH;Willmar Schwabe Straße 2-4;4109;Leipzig;12.357864;51.341697;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1088;Stadtwerke Leipzig GmbH;Brühl 1;4109;Leipzig;12.376692;51.343758;01.01.13;Normalladeeinrichtung;1;3.7;AC Schuko;3.7;;0.0;;0.0;;0.0
1089;Stadtwerke Leipzig GmbH;Jahnallee 56;4109;Leipzig;12.339783;51.337952;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1090;Stadtwerke Leipzig GmbH;Brühl 1;4109;Leipzig;12.376692;51.34371;01.01.13;Normalladeeinrichtung;1;3.7;AC Schuko;3.7;;0.0;;0.0;;0.0
1091;Stadtwerke Leipzig GmbH;Martin Lutrher Ring 4-6;4109;Leipzig;12.373184;51.33577;01.01.12;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1092;Stadtwerke Leipzig GmbH;Ratsfreischulstraße 5;4109;Leipzig;12.371162;51.338069;01.05.16;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1093;Stadtwerke Leipzig GmbH;Dittrichring 16;4109;Leipzig;12.371864;51.340876;01.06.16;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1094;Stadtwerke Leipzig GmbH;Ritterstraße 28;4109;Leipzig;12.380434;51.341299;01.06.16;Normalladeeinrichtung;4;50.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1095;Stadtwerke Leipzig GmbH;Richard Wagner Straße 10;4109;Leipzig;12.377814;51.343893;01.07.16;Normalladeeinrichtung;2;50.0;AC Steckdose Typ 2, AC Schuko;22.0;AC Steckdose Typ 2, AC Schuko;22.0;;0.0;;0.0
1096;Stadtwerke Leipzig GmbH;Willy-Brandt Platz 7;4109;Leipzig;12.379212;51.344946;28.06.17;Normalladeeinrichtung;2;20.0;DC Kupplung Combo, DC CHAdeMO;20.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1097;Stadtwerke Leipzig GmbH;Essener Straße 27;4129;Leipzig;12.395435;51.377046;01.01.14;Normalladeeinrichtung;4;50.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0
1098;Stadtwerke Leipzig GmbH;Thaerstraße 1;4129;Leipzig;12.386422;51.368274;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1099;Stadtwerke Leipzig GmbH;Blochmannstraße 59;4155;Leipzig;12.37362;51.362974;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1100;Stadtwerke Leipzig GmbH;Handelsstraße 4;4156;Leipzig;12.400294;51.400675;23.03.17;Normalladeeinrichtung;1;20.0;DC Kupplung Combo, DC CHAdeMO;20.0;;0.0;;0.0;;0.0
1101;Stadtwerke Leipzig GmbH;Virchowstraße 91;4157;Leipzig;12.378675;51.375483;01.06.16;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1102;innogy SE;Hugo-Junkers-Straße 3 Pforte WEST;4158;Leipzig;12.28257;51.40241;06.09.16;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1103;innogy SE;Hugo-Junkers-Straße 3 Pforte WEST;4158;Leipzig;12.28257;51.40241;06.09.16;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1104;innogy SE;Hugo-Junkers-Straße 3 Pforte WEST;4158;Leipzig;12.28257;51.40241;06.09.16;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1105;innogy SE;Porschestraße 1 Hauptpforte NORD Tor 1;4158;Leipzig;12.29452;51.41088;06.09.16;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1106;innogy SE;Porschestraße 1 Hauptpforte NORD Tor 1;4158;Leipzig;12.29452;51.41088;06.09.16;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
